# Stage 6D-A4 — REAL PRODUCER-AUTHORED corpus provenance. Files were fetched to scratch storage and deleted; none is committed.
# Reference-test sources (3MF Consortium test_suites, 3mf-samples, lib3mf, assimp, tinyobjloader, numpy-stl, admesh, CuraEngine) are summarised in the Stage 6D-A4 design section.
# class	source	commit	path	bytes	sha256	format	zip	production_path	required_ext	application	expected	actual	parts	triangles
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/anycubic_i3_mega_s_platform.3mf	1428	f9dbb2a996c3742b	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	44
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/anycubic_i3_mega_x_platform.stl	1484	a08d042815538f05	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	28
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/anycubic_kobra2_platform.stl	22684	a4d3c65ad50c6eb3	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	452
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/anycubic_kobra3v2_buildplate.stl	4284	bf17d1821da0c9f6	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	84
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/anycubic_kobra_s1_buildplate.obj	25872	6daff2a964d5941a	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	400
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/anycubic_mega_zero_platform.stl	65284	dd096d5e522ee163	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	1304
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/anycubic_vyper_platform.stl	30684	d1df200d46e3e2fa	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	612
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/arjun300_platform.stl	663284	43eea38322460e0b	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	13264
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/arjunpro300_platform.STL	710884	2fd7561b15542a5e	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	14216
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/artemis_platform.3mf	135666	0cc8accaccdbd6f9	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	17266
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/artillery_genius.stl	834684	7188ac995b49eccb	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	16692
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/artillery_hornet.stl	463984	d438e3beec6e6de7	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	9278
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/artillery_swx1.stl	774784	96cdc894962a5ed2	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	15494
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/atmat_asterion_platform.stl	953784	3a7772b03dbcbeaf	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	19074
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/atmat_signal_pro_platform.stl	845284	0b957ba22aca2e32	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	16904
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/beamup_l.3mf	28341	bc6e650035b5f058	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	2710
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/beamup_s.3mf	17772	d9fc11be27ec4219	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	2132
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/blocks_mk2_platform.stl	586884	b4b05291dd40786b	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	11736
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/blocks_pros100_platform.stl	510884	69e87eb7fa4925a2	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	10216
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/blocks_pros30_platform.stl	759884	faf6a0911d7e4d15	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	15196
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/blocks_r21_platform.stl	747584	56e8183315696978	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	14950
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/blocks_rd50_platform.stl	1010484	28d0cf43cecc420e	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	20208
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/blocks_zero_platform.stl	808484	6dfeacbd5da7600d	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	16168
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/blv_mgn_cube_300_platform.3mf	651440	dd656eaf9d3a6e29	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	38408
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/blv_mgn_cube_350_platform.3mf	718098	1d696097cfa4b767	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	41620
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/bq_hephestos_2_platform.3mf	51841	d9eb4e8ef7cf7cac	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	7542
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/bq_hephestos_platform.3mf	34852	7c8bb773353a6297	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	4416
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/bq_witbox_platform.3mf	140110	77bd4dee8bb284cc	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	18430
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/builder_premium_platform.3mf	152119	31ed3e280f69c665	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	18871
